subject,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18
sub-0100501_ses-1,0.098730 ,0.136545 ,0.195959 ,0.089344 ,0.091009 ,0.146277 ,0.075399 ,0.096421 ,0.122801 ,0.097921 ,0.124038 ,0.119333 ,0.139593 ,0.070088 ,0.110396 ,0.082637 ,0.106928 ,0.098658
sub-0100501_ses-1,0.102540 ,0.120619 ,0.170545 ,0.084191 ,0.076209 ,0.107637 ,0.071475 ,0.097919 ,0.115233 ,0.077118 ,0.108397 ,0.112194 ,0.111082 ,0.069885 ,0.093952 ,0.082407 ,0.099208 ,0.097071
sub-0100501_ses-1,0.091307 ,0.146523 ,0.185399 ,0.086273 ,0.088703 ,0.129002 ,0.085265 ,0.090795 ,0.108936 ,0.081850 ,0.103016 ,0.096963 ,0.095027 ,0.063202 ,0.096167 ,0.074752 ,0.093479 ,0.102082
sub-0100501_ses-1,0.082083 ,0.128776 ,0.184391 ,0.093679 ,0.079941 ,0.110279 ,0.074748 ,0.086844 ,0.135971 ,0.082015 ,0.115558 ,0.114411 ,0.109250 ,0.069061 ,0.112115 ,0.064682 ,0.117974 ,0.096450
sub-0100501_ses-1,0.093933 ,0.162162 ,0.201463 ,0.102046 ,0.103933 ,0.111980 ,0.087893 ,0.083817 ,0.099652 ,0.076612 ,0.126004 ,0.105656 ,0.082367 ,0.067066 ,0.091991 ,0.086536 ,0.091812 ,0.086837
sub-0100501_ses-1,0.086615 ,0.139112 ,0.198329 ,0.105050 ,0.083417 ,0.118564 ,0.090959 ,0.077778 ,0.117798 ,0.079083 ,0.123883 ,0.122831 ,0.095475 ,0.065218 ,0.094028 ,0.075818 ,0.097544 ,0.083954
sub-0100501_ses-1,0.089368 ,0.160321 ,0.238872 ,0.131356 ,0.093933 ,0.111494 ,0.084445 ,0.091397 ,0.136718 ,0.096791 ,0.116808 ,0.103905 ,0.120873 ,0.069881 ,0.100231 ,0.074126 ,0.095817 ,0.096424
sub-0100502_ses-1,0.109094 ,0.107992 ,0.133307 ,0.094778 ,0.093181 ,0.082837 ,0.096321 ,0.144565 ,0.126406 ,0.238773 ,0.129459 ,0.176441 ,0.070471 ,0.070718 ,0.096877 ,0.073135 ,0.103655 ,0.056855
sub-0100502_ses-2,0.210836 ,0.241800 ,0.784037 ,0.652855 ,0.495150 ,0.541242 ,0.306516 ,0.675114 ,0.382994 ,0.391135 ,1.994471 ,0.478875 ,0.690760 ,0.264087 ,0.354985 ,0.500465 ,0.630833 ,0.236605
sub-0100502_ses-3,0.106011 ,0.205377 ,0.141904 ,0.239889 ,0.146464 ,0.179984 ,0.220331 ,0.159155 ,0.386234 ,0.175247 ,0.302636 ,0.416590 ,0.257773 ,0.105301 ,0.206508 ,0.139828 ,0.296836 ,0.072528
sub-0100502_ses-4,0.086428 ,0.099229 ,0.073369 ,0.068511 ,0.075794 ,0.076168 ,0.074949 ,0.083558 ,0.096146 ,0.065455 ,0.109788 ,0.076420 ,0.069754 ,0.058913 ,0.086152 ,0.069747 ,0.083947 ,0.061657
sub-0100502_ses-4,0.077654 ,0.077482 ,0.082043 ,0.084603 ,0.070861 ,0.078845 ,0.080525 ,0.060362 ,0.090286 ,0.073689 ,0.099856 ,0.074877 ,0.069668 ,0.049995 ,0.086590 ,0.062169 ,0.094358 ,0.052331
sub-0100502_ses-4,0.081436 ,0.066128 ,0.061852 ,0.063543 ,0.062625 ,0.070137 ,0.062407 ,0.064366 ,0.086646 ,0.054513 ,0.080560 ,0.081884 ,0.075507 ,0.040779 ,0.070625 ,0.060329 ,0.076114 ,0.064175
sub-0100502_ses-4,0.078975 ,0.092078 ,0.071412 ,0.070633 ,0.079250 ,0.078113 ,0.068314 ,0.063187 ,0.079592 ,0.064313 ,0.096336 ,0.086350 ,0.078253 ,0.061015 ,0.077728 ,0.065892 ,0.076630 ,0.062886
sub-0100502_ses-4,0.080294 ,0.095725 ,0.091930 ,0.077878 ,0.087061 ,0.076565 ,0.071349 ,0.076144 ,0.092920 ,0.062913 ,0.102765 ,0.094201 ,0.066839 ,0.059052 ,0.080833 ,0.062937 ,0.087131 ,0.056227
sub-0100502_ses-4,0.076838 ,0.076976 ,0.077481 ,0.075357 ,0.075484 ,0.076154 ,0.073331 ,0.072829 ,0.086333 ,0.065446 ,0.100731 ,0.086571 ,0.082571 ,0.051033 ,0.082663 ,0.068660 ,0.089653 ,0.060562
sub-0100502_ses-4,0.083250 ,0.079655 ,0.079668 ,0.073040 ,0.068641 ,0.078205 ,0.073528 ,0.071785 ,0.092066 ,0.057440 ,0.121135 ,0.092830 ,0.074311 ,0.055262 ,0.076111 ,0.063447 ,0.086950 ,0.050090
sub-0100502_ses-4,0.082189 ,0.085211 ,0.094407 ,0.066436 ,0.072545 ,0.071977 ,0.063062 ,0.083610 ,0.073089 ,0.077144 ,0.094371 ,0.081128 ,0.088671 ,0.062005 ,0.082885 ,0.056518 ,0.082001 ,0.061677
sub-0100502_ses-4,0.078312 ,0.072566 ,0.072948 ,0.092996 ,0.074617 ,0.064720 ,0.071656 ,0.088358 ,0.082232 ,0.075719 ,0.093791 ,0.090562 ,0.067554 ,0.053003 ,0.082073 ,0.057761 ,0.086149 ,0.061682
